,Num,power_d,power_u,speed_d,speed_u
0,1.0,0.0,0.0,0.0,0.0
1,2.0,0.0,137.643443102,0.025025025025,0.025025025025
2,3.0,0.0,271.724189827,0.0500500500501,0.0500500500501
3,4.0,0.0,402.242240177,0.0750750750751,0.0750750750751
4,5.0,0.0,529.197594151,0.1001001001,0.1001001001
5,6.0,0.0,652.590251748,0.125125125125,0.125125125125
6,7.0,0.0,772.42021297,0.15015015015,0.15015015015
7,8.0,0.0,888.687477815,0.175175175175,0.175175175175
8,9.0,0.0,1001.39204628,0.2002002002,0.2002002002
9,10.0,0.0,1110.53391838,0.225225225225,0.225225225225
10,11.0,0.0,1216.1130941,0.25025025025,0.25025025025
11,12.0,0.0,1318.12957344,0.275275275275,0.275275275275
12,13.0,0.0,1416.5833564,0.3003003003,0.3003003003
13,14.0,0.0,1511.47444299,0.325325325325,0.325325325325
14,15.0,0.0,1602.80283321,0.35035035035,0.35035035035
15,16.0,0.0,1690.56852704,0.375375375375,0.375375375375
16,17.0,0.0,1774.7715245,0.4004004004,0.4004004004
17,18.0,0.0,1855.41182559,0.425425425425,0.425425425425
18,19.0,0.0,1932.4894303,0.45045045045,0.45045045045
19,20.0,0.0,2006.00433863,0.475475475475,0.475475475475
20,21.0,0.0,2075.95655059,0.500500500501,0.500500500501
21,22.0,0.0,2142.34606617,0.525525525526,0.525525525526
22,23.0,0.0,2205.17288538,0.550550550551,0.550550550551
23,24.0,0.0,2264.43700821,0.575575575576,0.575575575576
24,25.0,0.0,2320.13843466,0.600600600601,0.600600600601
25,26.0,0.0,2372.27716474,0.625625625626,0.625625625626
26,27.0,0.0,2420.85319844,0.650650650651,0.650650650651
27,28.0,0.0,2465.86653576,0.675675675676,0.675675675676
28,29.0,0.0,2507.31717671,0.700700700701,0.700700700701
29,30.0,0.0,2545.20512128,0.725725725726,0.725725725726
30,31.0,0.0,2579.53036948,0.750750750751,0.750750750751
31,32.0,0.0,2610.2929213,0.775775775776,0.775775775776
32,33.0,0.0,2637.49277675,0.800800800801,0.800800800801
33,34.0,0.0,2661.12993582,0.825825825826,0.825825825826
34,35.0,0.0,2681.20439851,0.850850850851,0.850850850851
35,36.0,0.0,2697.71616483,0.875875875876,0.875875875876
36,37.0,0.0,2710.66523477,0.900900900901,0.900900900901
37,38.0,0.0,2720.05160833,0.925925925926,0.925925925926
38,39.0,0.0,2725.87528552,0.950950950951,0.950950950951
39,40.0,0.0,2728.13626634,0.975975975976,0.975975975976
40,41.0,0.0,2726.83455077,1.001001001,1.001001001
41,42.0,0.0,2721.97013883,1.02602602603,1.02602602603
42,43.0,0.0,2713.54303052,1.05105105105,1.05105105105
43,44.0,0.0,2701.55322583,1.07607607608,1.07607607608
44,45.0,0.0,2686.00072476,1.1011011011,1.1011011011
45,46.0,0.0,2666.88552732,1.12612612613,1.12612612613
46,47.0,0.0,2644.2076335,1.15115115115,1.15115115115
47,48.0,0.0,2617.9670433,1.17617617618,1.17617617618
48,49.0,0.0,2588.16375673,1.2012012012,1.2012012012
49,50.0,0.0,2558.96460625,1.22622622623,1.22622622623
50,51.0,0.0,2544.16649221,1.25125125125,1.25125125125
51,52.0,0.0,2544.86255746,1.27627627628,1.27627627628
52,53.0,0.0,2561.05280199,1.3013013013,1.3013013013
53,54.0,0.0,2592.7372258,1.32632632633,1.32632632633
54,55.0,0.0,2639.9158289,1.35135135135,1.35135135135
55,56.0,0.0,2702.58861128,1.37637637638,1.37637637638
56,57.0,0.0,2780.75557295,1.4014014014,1.4014014014
57,58.0,0.0,2874.4167139,1.42642642643,1.42642642643
58,59.0,0.0,2983.57203414,1.45145145145,1.45145145145
59,60.0,0.0,3108.22153366,1.47647647648,1.47647647648
60,61.0,0.0,3248.36521247,1.5015015015,1.5015015015
61,62.0,0.0,3404.00307056,1.52652652653,1.52652652653
62,63.0,0.0,3575.13510793,1.55155155155,1.55155155155
63,64.0,0.0,3761.76132459,1.57657657658,1.57657657658
64,65.0,0.0,3963.88172054,1.6016016016,1.6016016016
65,66.0,0.0,4181.49629577,1.62662662663,1.62662662663
66,67.0,0.0,4414.60505028,1.65165165165,1.65165165165
67,68.0,0.0,4663.20798408,1.67667667668,1.67667667668
68,69.0,0.0,4927.30509716,1.7017017017,1.7017017017
69,70.0,0.0,5206.89638952,1.72672672673,1.72672672673
70,71.0,0.0,5501.98186117,1.75175175175,1.75175175175
71,72.0,0.0,5812.56151211,1.77677677678,1.77677677678
72,73.0,0.0,6138.63534233,1.8018018018,1.8018018018
73,74.0,0.0,6477.43650912,1.82682682683,1.82682682683
74,75.0,0.0,6811.81668501,1.85185185185,1.85185185185
75,76.0,0.0,7138.82462067,1.87687687688,1.87687687688
76,77.0,0.0,7458.46031612,1.9019019019,1.9019019019
77,78.0,0.0,7770.72377133,1.92692692693,1.92692692693
78,79.0,0.0,8075.61498633,1.95195195195,1.95195195195
79,80.0,0.0,8373.1339611,1.97697697698,1.97697697698
80,81.0,0.0,8663.28069565,2.002002002,2.002002002
81,82.0,0.0,8946.05518997,2.02702702703,2.02702702703
82,83.0,0.0,9221.45744408,2.05205205205,2.05205205205
83,84.0,0.0,9489.48745795,2.07707707708,2.07707707708
84,85.0,0.0,9750.14523161,2.1021021021,2.1021021021
85,86.0,0.0,10003.430765,2.12712712713,2.12712712713
86,87.0,0.0,10249.3440583,2.15215215215,2.15215215215
87,88.0,0.0,10487.8851112,2.17717717718,2.17717717718
88,89.0,0.0,10719.053924,2.2022022022,2.2022022022
89,90.0,0.0,10942.8504965,2.22722722723,2.22722722723
90,91.0,0.0,11159.2748289,2.25225225225,2.25225225225
91,92.0,0.0,11368.3269209,2.27727727728,2.27727727728
92,93.0,0.0,11570.0067728,2.3023023023,2.3023023023
93,94.0,0.0,11764.3143845,2.32732732733,2.32732732733
94,95.0,0.0,11951.2497559,2.35235235235,2.35235235235
95,96.0,0.0,12130.8128871,2.37737737738,2.37737737738
96,97.0,0.0,12303.0037781,2.4024024024,2.4024024024
97,98.0,0.0,12467.8224288,2.42742742743,2.42742742743
98,99.0,0.0,12625.319065,2.45245245245,2.45245245245
99,100.0,0.0,12780.1305739,2.47747747748,2.47747747748
100,101.0,0.0,12935.2839592,2.5025025025,2.5025025025
101,102.0,0.0,13090.779221,2.52752752753,2.52752752753
102,103.0,0.0,13246.6163593,2.55255255255,2.55255255255
103,104.0,0.0,13402.7953739,2.57757757758,2.57757757758
104,105.0,0.0,13559.316265,2.6026026026,2.6026026026
105,106.0,0.0,13716.1790326,2.62762762763,2.62762762763
106,107.0,0.0,13873.3836766,2.65265265265,2.65265265265
107,108.0,0.0,14030.9301971,2.67767767768,2.67767767768
108,109.0,0.0,14188.818594,2.7027027027,2.7027027027
109,110.0,0.0,14347.0488673,2.72772772773,2.72772772773
110,111.0,0.0,14505.6210171,2.75275275275,2.75275275275
111,112.0,0.0,14664.5350434,2.77777777778,2.77777777778
112,113.0,0.0,14823.790946,2.8028028028,2.8028028028
113,114.0,47.9292009736,14983.3887252,2.82782782783,2.82782782783
114,115.0,137.528005481,15143.3283808,2.85285285285,2.85285285285
115,116.0,228.691277572,15303.6099128,2.87787787788,2.87787787788
116,117.0,321.419017248,15464.2333212,2.9029029029,2.9029029029
117,118.0,415.711224507,15625.1986062,2.92792792793,2.92792792793
