ghi,power
0,0
24.52,1387.3
59.17,3403.37
102.31,6289.73
144.68,9076.72
197.22,12112.16
249.85,13764.42
301.5,15568.34
358.98,17593.44
398.53,19283.9
445.48,20472.89
471.99,21808.69
510.07,23208.93
534.71,24043.57
549.67,24953.2
610.17,26205.48
646.95,27111.23
675.33,27755.65
711.11,28212.19
670.78,27654.68
717.3,28247.39
748.4,28280.61
726.24,28348.22
657.49,27532.47
749.11,28572.29
745.42,28568.3
709.14,28108.15
698.23,27963.35
677.07,27614.78
654.62,27269.18
632.69,26805.27
546.04,25374.51
591.43,25492.86
495.51,23787.5
503.31,22967.04
453.22,21422.49
404.38,19140.52
221.2,13239.19
300.62,15172.18
247.12,13468.55
180.77,11660.5
123.92,7667.13
75.55,4549.61
33.74,1909.37
8.05,314.36
4.01,87.13
3.8,70.42
0,0
46.1,2691
78.47,4622.98
127.56,7531.12
173.87,11047.78
227.78,13199.7
289.16,15120.29
343.68,17115.34
409.09,19375.65
457.02,20789.86
487.46,22275.2
523.45,23903.23
554.61,24888.91
582.25,25680.07
618.15,26517.65
660.32,27532.85
693.21,27983.08
728.48,28393.88
769.67,28747.99
789,28852.9
789.83,28841.96
746.12,28575.6
758.6,28711.72
773.32,28765.44
772.07,28804.12
741.3,28543.81
729.87,28310.38
702.58,27934.12
678.2,27740.45
655.57,27314.84
621.73,26504.8
593.35,25698.17
544.57,24776.59
504.11,23125.69
467.11,21637.35
414.52,19747.01
221.31,13385.67
311.96,15883.55
258.82,13949.14
187.18,11918.49
125.23,7819.85
76.18,4461.11
40.45,2212.14
10.47,376.81
4.24,92.84
