,power_u,speed_u
0,0.0,0.0
1,6765.49865229,1.20967741935
2,14851.7520216,1.93548387097
3,28328.8409704,2.78225806452
4,40907.4573226,3.32661290323
5,58876.9092543,4.05241935484
6,74150.9433962,4.77822580645
7,89424.9775382,5.32258064516
8,112785.265049,5.98790322581
9,132551.662174,6.59274193548
10,165795.148248,7.25806451613
11,189155.435759,7.80241935484
12,208921.832884,8.28629032258
13,235876.010782,8.70967741935
14,259236.298293,9.1935483871
15,275408.805031,9.49596774194
16,292479.784367,10.2217741935
17,305058.400719,10.6451612903
18,308652.291105,11.5524193548
19,314941.599281,12.3991935484
20,314941.599281,13.3064516129
21,316738.544474,15.5443548387
22,317637.017071,16.814516129
23,314043.126685,17.6008064516
24,313144.654088,18.2056451613
25,314941.599281,20.0806451613
26,316738.544474,21.6532258065
27,316738.544474,23.2258064516
28,316738.544474,24.435483871
29,316738.544474,25.2822580645
30,316738.544474,25.7661290323
